City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,61.81,45,47,15.88,NZ,1702258437
1,dudinka,69.4058,86.1778,-16.38,97,100,11.99,RU,1702258438
2,bredasdorp,-34.5322,20.0403,58.68,84,0,3.04,ZA,1702258438
3,albany,42.6001,-73.9662,45.18,91,100,3.0,US,1702258196
4,whitehorse,60.7161,-135.0538,9.37,83,100,4.61,CA,1702258181
5,georgetown,5.4112,100.3354,84.13,83,20,5.75,MY,1702258297
6,usinsk,65.9939,57.5281,-19.93,100,100,1.01,RU,1702258439
7,kailua-kona,19.6406,-155.9956,82.36,77,40,5.75,US,1702258440
8,west island,-12.1568,96.8225,80.58,74,75,10.36,CC,1702258171
9,margaret river,-33.95,115.0667,75.78,29,0,5.68,AU,1702258440
10,mingshui,36.7167,117.5,29.23,92,100,12.53,CN,1702258440
11,vernon,50.2581,-119.2691,40.3,90,100,3.44,CA,1702258295
12,rio grande,-32.035,-52.0986,67.95,87,98,17.54,BR,1702258441
13,puerto natales,-51.7236,-72.4875,43.75,84,68,4.21,CL,1702258441
14,sitka,57.0531,-135.33,37.29,81,75,5.75,US,1702258442
15,bilibino,68.0546,166.4372,-14.51,98,38,4.5,RU,1702258442
16,aykhal,66.0,111.5,-16.67,98,100,5.39,RU,1702258442
17,coos bay,43.3665,-124.2179,56.23,94,100,6.91,US,1702258409
18,qaqortoq,60.7167,-46.0333,13.14,74,10,3.76,GL,1702258443
19,sullivan,36.5168,-82.5332,40.77,86,100,11.5,US,1702258443
20,loreto,22.2667,-101.9667,56.32,68,100,15.12,MX,1702258443
21,vorkuta,67.5,64.0,-12.89,100,100,7.87,RU,1702258192
22,severo-yeniseyskiy,60.3725,93.0408,-37.43,100,100,1.01,RU,1702258444
23,mount isa,-20.7333,139.5,83.97,39,7,13.8,AU,1702258444
24,waitangi,-43.9535,-176.5597,53.11,59,0,5.01,NZ,1702258445
25,rakops,-21.0167,24.3333,69.12,80,96,6.24,BW,1702258445
26,bridgewater,44.3835,-64.5155,46.11,99,100,8.05,CA,1702258352
27,port-aux-francais,-49.35,70.2167,39.42,79,75,21.27,TF,1702258446
28,sao jose da coroa grande,-8.8978,-35.1478,77.81,79,2,7.23,BR,1702258446
29,jamestown,42.097,-79.2353,40.59,90,100,8.05,US,1702258256
30,el calafate,-50.3408,-72.2768,48.96,77,55,6.93,AR,1702258447
31,saipan,15.1355,145.701,86.7,74,0,12.66,MP,1702258447
32,talnakh,69.4865,88.3972,-16.8,98,100,10.11,RU,1702258447
33,adamstown,-25.066,-130.1015,70.32,57,0,7.14,PN,1702258192
34,edinburgh of the seven seas,-37.0676,-12.3116,56.62,70,97,16.6,SH,1702258178
35,ushuaia,-54.8,-68.3,46.06,53,0,11.5,AR,1702258188
36,badger,64.8,-147.5333,0.81,74,0,0.0,US,1702258449
37,punta arenas,-53.15,-70.9167,46.51,61,0,3.44,CL,1702258449
38,bethel,41.3712,-73.414,61.21,89,100,3.0,US,1702258449
39,gorgan,36.8387,54.4348,51.76,94,75,0.0,IR,1702258450
40,port mathurin,-19.6833,63.4167,78.91,76,100,7.87,MU,1702258450
41,papatowai,-46.5619,169.4708,64.4,40,81,15.35,NZ,1702258450
42,kingston,17.997,-76.7936,83.35,75,20,17.27,JM,1702258435
43,arenal,8.4593,-73.9433,80.83,79,99,1.95,CO,1702258451
44,mount pearl,47.5166,-52.7813,29.84,91,0,8.05,CA,1702258451
45,as sulayyil,20.4607,45.5779,53.85,31,35,4.7,SA,1702258452
46,port elizabeth,-33.918,25.5701,59.09,92,0,4.61,ZA,1702258200
47,new norfolk,-42.7826,147.0587,72.72,23,13,3.2,AU,1702258452
48,tiksi,71.6872,128.8694,-14.44,100,100,5.23,RU,1702258453
49,manokwari,-0.8667,134.0833,82.51,73,100,5.17,ID,1702258194
50,anadyr,64.75,177.4833,-16.01,82,20,11.18,RU,1702258176
51,turinsk,58.0458,63.696,-26.64,98,8,4.94,RU,1702258454
52,hilo,19.7297,-155.09,78.24,95,100,5.01,US,1702258454
53,tazovsky,67.4667,78.7,-13.13,97,100,10.49,RU,1702258198
54,razdol'noye,45.7708,33.4878,42.03,93,94,3.96,UA,1702258455
55,khandyga,62.6667,135.6,-27.83,97,100,1.61,RU,1702258166
56,chonchi,-42.6128,-73.8092,54.61,96,96,2.77,CL,1702258455
57,ravar,31.2656,56.8055,51.37,22,39,1.79,IR,1702258456
58,lazaro cardenas,17.9583,-102.2,79.45,70,100,2.01,MX,1702258364
59,kodiak,57.79,-152.4072,42.31,87,100,13.8,US,1702258206
60,yebaishou,41.3975,119.6408,13.48,68,100,8.97,CN,1702258456
61,crockett,31.3182,-95.4566,41.63,81,0,0.0,US,1702258457
62,olonkinbyen,70.9221,-8.7187,26.17,64,100,9.57,SJ,1702258457
63,grytviken,-54.2811,-36.5092,41.54,95,100,14.0,GS,1702258458
64,arteche,12.2645,125.4048,81.52,87,100,8.81,PH,1702258458
65,nova xavantina,-14.6667,-52.35,75.72,74,86,3.36,BR,1702258458
66,mahibadhoo,3.7833,72.9667,83.14,75,98,7.7,MV,1702258459
67,pisco,-13.7,-76.2167,68.05,77,0,14.97,PE,1702258459
68,leh,34.1667,77.5833,14.14,38,97,3.91,IN,1702258459
69,coyhaique,-45.5752,-72.0662,55.35,67,100,3.44,CL,1702258311
70,ribeira grande,38.5167,-28.7,63.77,75,99,15.01,PT,1702258460
71,blackmans bay,-43.0167,147.3167,71.53,56,7,1.99,AU,1702258460
72,kargil,34.5667,76.1,19.76,33,100,1.86,IN,1702258461
73,casablanca,33.5928,-7.6192,64.33,88,13,4.0,MA,1702258461
74,stanley,54.868,-1.6985,42.28,96,75,5.75,GB,1702258461
75,seddouk,36.5472,4.6861,54.55,73,5,4.61,DZ,1702258461
76,nova sintra,14.8667,-24.7167,73.35,74,100,8.52,CV,1702258181
77,iskateley,67.6803,53.1512,-8.99,91,100,11.01,RU,1702258439
78,calvinia,-31.4707,19.776,57.36,50,0,5.53,ZA,1702258462
79,yellowknife,62.456,-114.3525,10.92,92,100,18.41,CA,1702258463
80,thompson,55.7435,-97.8558,5.16,85,100,3.44,CA,1702258463
81,lubumbashi,-11.6609,27.4794,64.11,96,100,2.48,CD,1702258463
82,college,64.8569,-147.8028,-9.54,75,75,0.0,US,1702258172
83,plettenberg bay,-34.0527,23.3716,58.89,84,0,3.24,ZA,1702258464
84,coahuayana de hidalgo,18.7,-103.6583,78.93,68,100,2.13,MX,1702258464
85,puerto carreno,6.189,-67.4859,83.37,66,93,4.23,CO,1702258464
86,arraial do cabo,-22.9661,-42.0278,73.4,80,100,10.94,BR,1702258239
87,jijiga,9.35,42.8,56.64,35,6,6.98,ET,1702258465
88,baoqing,46.3317,132.2111,0.03,74,4,6.53,CN,1702258465
89,wailua homesteads,22.0669,-159.378,79.59,80,20,9.22,US,1702258404
90,petauke,-14.2426,31.3253,71.35,68,100,7.65,ZM,1702258466
91,dzilam gonzalez,21.2833,-88.9333,72.54,88,100,9.22,MX,1702258466
92,wenatchee,47.4235,-120.3103,41.38,91,100,3.44,US,1702258466
93,ta`u,-14.2336,-169.5144,77.29,92,100,17.43,AS,1702258467
94,nebraska city,40.6767,-95.8592,39.24,60,40,6.91,US,1702258400
95,am timan,11.0297,20.2827,71.24,16,35,9.82,TD,1702258272
96,farsan,32.2569,50.561,26.64,31,100,2.3,IR,1702258468
97,longyearbyen,78.2186,15.6401,31.84,74,75,12.66,SJ,1702258468
98,onega,63.9061,38.1404,8.53,92,100,10.2,RU,1702258468
99,egilsstadir,65.2653,-14.3948,21.11,93,100,2.3,IS,1702258469
100,navoiy,40.0844,65.3792,38.68,81,100,4.61,UZ,1702258469
101,st. paul,44.9444,-93.0933,25.36,84,100,5.75,US,1702258469
102,newman,37.3138,-121.0208,55.29,45,100,1.99,US,1702258381
103,iqaluit,63.7506,-68.5145,24.53,79,100,12.66,CA,1702258172
104,alice springs,-23.7,133.8833,63.95,39,100,10.36,AU,1702258241
105,pokhvistnevo,53.6524,52.1274,-12.5,93,83,5.39,RU,1702258470
106,morehead city,34.7229,-76.726,66.25,88,100,14.97,US,1702258471
107,kununurra,-15.7667,128.7333,85.98,45,33,12.66,AU,1702258471
108,pionerskiy,54.9508,20.2275,30.15,86,100,17.45,RU,1702258471
109,orkney,-26.9802,26.6727,62.64,79,100,9.62,ZA,1702258471
110,eyl,7.9803,49.8164,75.76,76,50,14.79,SO,1702258472
111,fale old settlement,-9.3852,-171.2468,83.93,77,96,15.5,TK,1702258472
112,bubaque,11.2833,-15.8333,82.65,62,99,9.8,GW,1702258387
113,yuktae-dong,40.0247,128.1597,35.47,86,100,19.22,KP,1702258473
114,aldan,58.6031,125.3894,-23.37,95,100,5.73,RU,1702258473
115,ghadamis,30.1337,9.5007,49.73,57,0,5.55,LY,1702258474
116,colonia,50.9333,6.95,53.06,76,40,11.5,DE,1702258422
117,alofi,-19.0595,-169.9187,76.89,94,100,6.91,NU,1702258474
118,westport,41.1415,-73.3579,61.47,91,100,17.27,US,1702258474
119,sisimiut,66.9395,-53.6735,24.49,86,100,11.7,GL,1702258475
120,harstad,68.799,16.5293,29.16,87,78,8.01,NO,1702258475
121,masterton,-40.9597,175.6575,62.89,36,0,7.87,NZ,1702258449
122,kotabumi,-4.8333,104.9,84.16,68,95,3.29,ID,1702258476
123,bamboo flat,11.7,92.7167,77.09,94,20,2.3,IN,1702258476
124,fisterra,42.9049,-9.2629,64.74,86,100,22.66,ES,1702258476
125,nyurba,63.2842,118.3319,-19.37,97,100,5.84,RU,1702258446
126,pingzhuang,42.0372,119.2889,11.25,45,100,9.01,CN,1702258477
127,talpa de allende,20.3833,-104.8167,66.67,63,100,2.3,MX,1702258477
128,lebu,-37.6167,-73.65,55.09,87,100,16.91,CL,1702258304
129,sittwe,20.15,92.9,68.94,81,0,5.46,MM,1702258478
130,nadym,65.5333,72.5167,-24.38,93,89,9.35,RU,1702258226
131,bandarbeyla,9.4942,50.8122,76.96,73,17,20.94,SO,1702258201
132,geneina,13.45,22.45,65.82,17,100,7.23,SD,1702258478
133,walvis bay,-22.9575,14.5053,62.1,77,58,8.05,NA,1702258479
134,carnarvon,-24.8667,113.6333,87.39,25,0,17.81,AU,1702258479
135,ancud,-41.8697,-73.8203,53.38,89,100,3.04,CL,1702258479
136,isafjordur,66.0755,-23.124,27.21,93,89,7.14,IS,1702258201
137,tommot,58.9564,126.2925,-17.79,92,100,10.56,RU,1702258480
138,edd,13.9297,41.6925,78.6,61,13,15.23,ER,1702258480
